"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"0","2020-01-08","2020-01-08","Southwest","BATTERY - SIMPLE ASSAULT","36","F","B","1987"
"1","2020-01-02","2020-01-02","Central","BATTERY - SIMPLE ASSAULT","25","M","H","1998"
"2","2020-01-01","2020-01-01","N Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","76","F","W","1947"
"3","2020-01-01","2020-01-01","Mission","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","31","X","X","1992"
"4","2020-01-02","2020-01-02","Central","RAPE, FORCIBLE","25","F","H","1998"
"5","2020-01-02","2020-01-02","Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","23","M","H","2000"
"6","2020-01-04","2020-01-04","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","23","M","B","2000"
"7","2020-01-04","2020-01-04","Central","BURGLARY FROM VEHICLE","29","M","A","1994"
"8","2020-01-05","2020-01-05","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","35","M","O","1988"
"9","2020-01-05","2020-01-05","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","41","M","A","1982"
"10","2020-01-08","2020-01-08","Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","24","F","H","1999"
"11","2021-11-26","2021-11-26","Mission","INTIMATE PARTNER - SIMPLE ASSAULT","24","F","H","1999"
"12","2020-11-29","2020-11-29","Northeast","INTIMATE PARTNER - SIMPLE ASSAULT","34","F","H","1989"
"13","2020-02-22","2020-02-22","Harbor","THEFT PLAIN - PETTY ($950 & UNDER)","29","F","W","1994"
"14","2021-11-22","2021-11-22","Van Nuys","THEFT OF IDENTITY","46","M","B","1977"
"15","2020-01-14","2020-01-14","Central","ROBBERY","66","M","B","1957"
"16","2020-09-10","2020-09-10","Van Nuys","THEFT OF IDENTITY","40","M","O","1983"
"17","2020-01-14","2020-01-14","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","31","M","H","1992"
"18","2020-01-15","2020-01-15","Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","27","M","B","1996"
"19","2021-11-18","2021-11-18","West Valley","THEFT OF IDENTITY","46","F","W","1977"
"20","2020-01-15","2020-01-15","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","62","M","A","1961"
"21","2021-11-29","2021-11-29","West Valley","THEFT OF IDENTITY","34","F","B","1989"
"22","2020-02-15","2020-02-15","Northeast","BURGLARY FROM VEHICLE","43","M","A","1980"
"23","2020-01-19","2020-01-19","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","71","M","W","1952"
"24","2020-10-15","2020-10-15","West LA","BATTERY - SIMPLE ASSAULT","50","F","W","1973"
"25","2020-01-20","2020-01-20","Central","RAPE, FORCIBLE","19","F","B","2004"
"26","2020-01-23","2020-01-23","Central","BURGLARY","51","M","W","1972"
"27","2021-11-24","2021-11-24","West LA","THEFT OF IDENTITY","27","M","W","1996"
"28","2020-07-29","2020-07-29","Northeast","INTIMATE PARTNER - SIMPLE ASSAULT","33","F","H","1990"
"29","2020-09-15","2020-09-15","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","69","M","B","1954"
"30","2020-01-27","2020-01-27","West Valley","THEFT OF IDENTITY","39","M","B","1984"
"31","2021-11-29","2021-11-29","Wilshire","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","19","M","O","2004"
