"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"231105517","02/09/2023 12:00:00 AM","02/06/2023 12:00:00 AM","1700","11","Northeast","1136","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","707","GARAGE/CARPORT","","","IC","Invest Cont","420","","","","4300    YORK                         BL","","34.1243","-118.2243"
"230105214","01/19/2023 12:00:00 AM","01/07/2023 12:00:00 AM","1200","01","Central","0152","2","762","LEWD CONDUCT","0528 0216 2004 1822","31","F","H","738","LIBRARY","","","IC","Invest Cont","762","","","","600 W  5TH                          ST","","34.0502","-118.2539"
"231204155","01/04/2023 12:00:00 AM","01/04/2023 12:00:00 AM","0845","12","77th Street","1249","2","753","DISCHARGE FIREARMS/SHOTS FIRED","1100 1822 1407","0","X","X","101","STREET","102","HAND GUN","IC","Invest Cont","753","998","","","FIGUEROA                     ST","GAGE                         AV","33.9824","-118.2827"
"230805617","02/07/2023 12:00:00 AM","02/07/2023 12:00:00 AM","1430","08","West LA","0881","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","63","M","W","203","OTHER BUSINESS","","","IC","Invest Cont","440","","","","11700 W  OLYMPIC                      BL","","34.0342","-118.4478"
"230106483","02/06/2023 12:00:00 AM","02/02/2023 12:00:00 AM","2330","01","Central","0111","1","330","BURGLARY FROM VEHICLE","0344 1300 1307 1609 1822 0930","32","F","H","101","STREET","","","IC","Invest Cont","330","","","","BROADWAY","COLLEGE","34.064","-118.2375"
"230905332","02/05/2023 12:00:00 AM","02/05/2023 12:00:00 AM","2110","09","Van Nuys","0901","2","901","VIOLATION OF RESTRAINING ORDER","2038 2004","47","F","A","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","901","","","","15500    SATICOY                      ST","","34.2083","-118.4706"
"231806249","02/13/2023 12:00:00 AM","02/13/2023 12:00:00 AM","0220","18","Southeast","1821","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","2000 0421 0913 1813 0432","37","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","511","VERBAL THREAT","IC","Invest Cont","930","","","","800 W  COLDEN                       AV","","33.9491","-118.2893"
"232005428","02/06/2023 12:00:00 AM","02/06/2023 12:00:00 AM","0240","20","Olympic","2004","1","330","BURGLARY FROM VEHICLE","0344 1822 1607 0342 0321","31","M","H","101","STREET","102","HAND GUN","IC","Invest Cont","330","","","","400 N  OXFORD                       AV","","34.0776","-118.308"
"231104187","01/06/2023 12:00:00 AM","01/05/2023 12:00:00 AM","1500","11","Northeast","1132","1","330","BURGLARY FROM VEHICLE","1822 0344 0930","65","F","W","109","PARK/PLAYGROUND","","","IC","Invest Cont","330","","","","LOS FELIZ                    BL","GRIFFITH PARK","34.1139","-118.2769"
"230604184","01/05/2023 12:00:00 AM","01/04/2023 12:00:00 AM","1900","06","Hollywood","0638","2","354","THEFT OF IDENTITY","1908 1902 0105 0930","35","F","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","1700    CANYON                       DR","","34.1028","-118.3158"
"231605663","02/21/2023 12:00:00 AM","02/20/2023 12:00:00 AM","1930","16","Foothill","1675","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","10900    RANDALL                      ST","","34.2383","-118.3698"
"230804032","01/01/2023 12:00:00 AM","01/01/2023 12:00:00 AM","0350","08","West LA","0836","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1609","37","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","740","","","","2100 S  BEVERLY GLEN                 BL","","34.0524","-118.4215"
"230404455","01/15/2023 12:00:00 AM","01/15/2023 12:00:00 AM","0730","04","Hollenbeck","0488","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","3300    OPAL                         ST","","34.0233","-118.2065"
"230104323","01/05/2023 12:00:00 AM","01/04/2023 12:00:00 AM","1800","01","Central","0119","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300 1307 1822","53","M","W","122","VEHICLE, PASSENGER/TRUCK","","","IC","Invest Cont","740","","","","800 N  VIGNES                       ST","","34.0559","-118.232"
"231705188","01/20/2023 12:00:00 AM","01/14/2023 12:00:00 AM","1012","17","Devonshire","1788","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","1822 0325","0","X","X","404","DEPARTMENT STORE","","","IC","Invest Cont","442","","","","8900    BALBOA                       BL","","34.2322","-118.5113"
"230805904","02/15/2023 12:00:00 AM","02/15/2023 12:00:00 AM","0850","08","West LA","0884","2","624","BATTERY - SIMPLE ASSAULT","0448 0416","18","M","W","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","CAMDEN","PICO","34.0379","-118.4333"
